Country,Year,PSS,GES,GDPpc,Educ,U,POP,GCF
DNK,2019,28.436,6.9096999168396,59910.664842899125,40.353836,5.02,5.814461,21.853088227922896
DNK,2020,29.347,7.38911008834839,60753.4340598052,39.326214,5.64,5.825337,22.50482962753533
DNK,2021,28.273,6.03974866867065,66086.87945510878,41.881645,5.06,5.850189,23.984697442479682
ISL,2002,15.808,7.29892015457153,32607.10587965683,29.502,2.99,0.287516,19.810391208825955
ISL,2003,16.732,7.24507999420166,32700.89215793821,27.861868,4,0.289522,21.291961540460743
ISL,2004,16.492,7.16118001937866,35616.4037879039,27.94356,4.03,0.292077,24.84483597914724
ISL,2005,15.618,7.33843994140625,37322.73992727925,29.471401,2.55,0.296734,28.87078264198173
ISL,2006,14.977,7.19521999359131,39697.76312240913,30.411818,2.83,0.303784,36.07221198055351
ISL,2007,15.825,6.9443302154541,41468.67397798704,30.804794,2.25,0.311567,29.574866829889995
ISL,2008,16.15,7.03601980209351,43728.114056412305,31.591888,2.95,0.317404,26.021354462289626
ISL,2009,18.491,7.18984985351562,41864.61934699795,32.907246,7.22,0.318501,15.32308693493922
ISL,2010,17.732,6.9442400932312,39773.2635291597,31.298735,7.56,0.318044,13.909131677455317
ISL,2011,18.146,6.78997993469238,40936.86783051303,32.616898,7.03,0.319011,15.583162546164717
ISL,2012,17.794,7.58223009109497,42004.44761105966,33.888733,6,0.320723,16.015855971278366
ISL,2013,17.325,7.44868993759155,44409.66895309035,34.277187,5.38,0.323763,15.469641922046149
ISL,2014,17.512,7.6414098739624,45996.96874769013,35.608643,4.9,0.327379,17.223657591055126
ISL,2015,16.648,7.4579701423645,49201.064096455295,36.97718,3.98,0.330818,19.403628682186326
ISL,2016,16.491,7.43219995498657,53480.39719467644,38.100773,2.98,0.335435,21.0838902078912
ISL,2017,17.496,7.58385992050171,55638.49205917962,39.043491,2.74,0.343399,21.741438907536885
ISL,2018,17.779,7.56349992752075,57197.76762471731,40.279774,2.7,0.352722,22.109412290399412
